Season,Title,imdbID,Episode,Released,imdbRating,No.overall,Directed by,Written by,Original air date,Prod.code,U.S.viewers_millions,ViewersNext
1,The One Where Monica Gets a Roommate,tt0583459,1,1994-09-22,8.5,1,James Burrows,David Crane & Marta Kauffman,"September 22, 1994",456650,21.5,20.2
1,The One with the Sonogram at the End,,2,1994-09-29,8.2,2,James Burrows,David Crane & Marta Kauffman,"September 29, 1994",456652,20.2,19.5
1,The One with the Thumb,tt0583653,3,1994-10-06,8.3,3,James Burrows,Jeffrey Astrof & Mike Sikowitz,"October 6, 1994",456651,19.5,19.7
1,The One with George Stephanopoulos,tt0583521,4,1994-10-13,8.3,4,James Burrows,Alexa Junge,"October 13, 1994",456654,19.7,18.6
1,The One with the East German Laundry Detergent,tt0583599,5,1994-10-20,8.5,5,Pamela Fryman,Jeff Greenstein & Jeff Strauss,"October 20, 1994",456653,18.6,18.2
1,The One with the Butt,tt0583585,6,1994-10-27,8.3,6,Arlene Sanford,Adam Chase & Ira Ungerleider,"October 27, 1994",456655,18.2,23.5
1,The One with the Blackout,tt0583579,7,1994-11-03,8.9,7,James Burrows,Jeffrey Astrof & Mike Sikowitz,"November 3, 1994",456656,23.5,21.1
1,The One Where Nana Dies Twice,tt0583462,8,1994-11-10,8.2,8,James Burrows,Marta Kauffman & David Crane,"November 10, 1994",456657,21.1,23.1
1,The One Where Underdog Gets Away,tt0583492,9,1994-11-17,8.3,9,James Burrows,Jeff Greenstein & Jeff Strauss,"November 17, 1994",456659,23.1,19.9
1,The One with the Monkey,tt0583630,10,1994-12-15,8.1,10,Peter Bonerz,Adam Chase & Ira Ungerleider,"December 15, 1994",456661,19.9,26.6
1,The One with Mrs. Bing,tt0583534,11,1995-01-05,8.3,11,James Burrows,Alexa Junge,"January 5, 1995",456660,26.6,24
1,The One with the Dozen Lasagnas,tt0583598,12,1995-01-12,8.3,12,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,"January 12, 1995",456658,24,25.8
1,The One with the Boobies,tt0583582,13,1995-01-19,8.7,13,Alan Myerson,Alexa Junge,"January 19, 1995",456664,25.8,23.8
1,The One with the Candy Hearts,tt0583587,14,1995-02-09,8.3,14,James Burrows,Bill Lawrence,"February 9, 1995",456667,23.8,24.8
1,The One with the Stoned Guy,tt0583649,15,1995-02-16,8.4,15,Alan Myerson,Jeff Greenstein & Jeff Strauss,"February 16, 1995",456663,24.8,26.1
1,The One with Two Parts: Part 1,tt0583568,16,1995-02-23,8.3,16,Michael Lembeck,Marta Kauffman & David Crane,"February 23, 1995",456665,26.1,26.1
1,The One with Two Parts: Part 2,tt0583569,17,1995-02-23,8.5,17,Michael Lembeck,Marta Kauffman & David Crane,"February 23, 1995",456665,26.1,30.4
1,The One with All the Poker,tt0583510,18,1995-03-02,8.9,18,James Burrows,Jeffrey Astrof & Mike Sikowitz,"March 2, 1995",456662,30.4,29.4
1,The One Where the Monkey Gets Away,tt0583493,19,1995-03-09,8.2,19,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,"March 9, 1995",456668,29.4,30
1,The One with the Evil Orthodontist,tt0583602,20,1995-04-06,8,20,Peter Bonerz,Doty Abrams,"April 6, 1995",456669,30,28.4
1,The One with the Fake Monica,tt0583603,21,1995-04-27,8,21,Gail Mancuso,Adam Chase & Ira Ungerleider,"April 27, 1995",456671,28.4,29.9
1,The One with the Ick Factor,tt0583616,22,1995-05-04,8.4,22,Robby Benson,Alexa Junge,"May 4, 1995",456670,29.9,28.7
1,The One with the Birth,tt0583577,23,1995-05-11,8.6,23,James Burrows,Story: David Crane & Marta Kauffman Teleplay: Jeff Greenstein & Jeff Strauss,"May 11, 1995",456672,28.7,31.3
1,The One Where Rachel Finds Out,tt0583469,24,1995-05-18,8.9,24,Kevin S. Bright,Chris Brown,"May 18, 1995",456673,31.3,32.1
2,The One with Ross's New Girlfriend,tt0583562,1,1995-09-21,8.5,25,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,"September 21, 1995",457301,32.1,29.8
2,The One with the Breast Milk,tt0583583,2,1995-09-28,8.3,26,Michael Lembeck,Adam Chase & Ira Ungerleider,"September 28, 1995",457302,29.8,30.2
2,The One Where Heckles Dies,tt0583453,3,1995-10-05,8.4,27,Kevin S. Bright,Michael Curtis & Gregory S. Malins,"October 5, 1995",457303,30.2,28.1
2,The One with Phoebe's Husband,tt0583539,4,1995-10-12,8,28,Gail Mancuso,Alexa Junge,"October 12, 1995",457305,28.1,28.3
2,The One with Five Steaks and an Eggplant,,5,1995-10-19,8.3,29,Ellen Gittelsohn,Chris Brown,"October 19, 1995",457304,28.3,30.2
2,The One with the Baby on the Bus,tt0583574,6,1995-11-02,8.6,30,Gail Mancuso,Betsy Borns,"November 2, 1995",457306,30.2,30.5
2,The One Where Ross Finds Out,tt0583481,7,1995-11-09,9,31,Peter Bonerz,Michael Borkow,"November 9, 1995",457307,30.5,32.9
2,The One with the List,tt0583625,8,1995-11-16,8.5,32,Mary Kay Place,David Crane & Marta Kauffman,"November 16, 1995",457308,32.9,27.8
2,The One with Phoebe's Dad,tt0583537,9,1995-12-14,8,33,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,"December 14, 1995",457309,27.8,32.2
2,The One with Russ,tt0583567,10,1996-01-04,8.1,34,Thomas Schlamme,Ira Ungerleider,"January 4, 1996",457311,32.2,31.6
