Season,"No.overall",Episode,Title,Directed by,Written by,Original air date,"Prod.code","U.S. viewers(millions)"
1,1,1,"The One Where Monica Gets a Roommate",James Burrows,David Crane & Marta Kauffman,"September 22, 1994",456650,21.5
1,2,2,"The One with the Sonogram at the End",James Burrows,David Crane & Marta Kauffman,"September 29, 1994",456652,20.2
1,3,3,"The One with the Thumb",James Burrows,Jeffrey Astrof & Mike Sikowitz,"October 6, 1994",456651,19.5
1,4,4,"The One with George Stephanopoulos",James Burrows,Alexa Junge,"October 13, 1994",456654,19.7
1,5,5,"The One with the East German Laundry Detergent",Pamela Fryman,Jeff Greenstein & Jeff Strauss,"October 20, 1994",456653,18.6
1,6,6,"The One with the Butt",Arlene Sanford,Adam Chase & Ira Ungerleider,"October 27, 1994",456655,18.2
1,7,7,"The One with the Blackout",James Burrows,Jeffrey Astrof & Mike Sikowitz,"November 3, 1994",456656,23.5
1,8,8,"The One Where Nana Dies Twice",James Burrows,Marta Kauffman & David Crane,"November 10, 1994",456657,21.1
1,9,9,"The One Where Underdog Gets Away",James Burrows,Jeff Greenstein & Jeff Strauss,"November 17, 1994",456659,23.1
1,10,10,"The One with the Monkey",Peter Bonerz,Adam Chase & Ira Ungerleider,"December 15, 1994",456661,19.9
1,11,11,"The One with Mrs. Bing",James Burrows,Alexa Junge,"January 5, 1995",456660,26.6
1,12,12,"The One with the Dozen Lasagnas",Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,"January 12, 1995",456658,24
1,13,13,"The One with the Boobies",Alan Myerson,Alexa Junge,"January 19, 1995",456664,25.8
1,14,14,"The One with the Candy Hearts",James Burrows,Bill Lawrence,"February 9, 1995",456667,23.8
1,15,15,"The One with the Stoned Guy",Alan Myerson,Jeff Greenstein & Jeff Strauss,"February 16, 1995",456663,24.8
1,16,16,"The One with Two Parts: Part 1",Michael Lembeck,Marta Kauffman & David Crane,"February 23, 1995",456665,26.1
1,17,17,"The One with Two Parts: Part 2",Michael Lembeck,Marta Kauffman & David Crane,"February 23, 1995",456665,26.1
1,18,18,"The One with All the Poker",James Burrows,Jeffrey Astrof & Mike Sikowitz,"March 2, 1995",456662,30.4
1,19,19,"The One Where the Monkey Gets Away",Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,"March 9, 1995",456668,29.4
1,20,20,"The One with the Evil Orthodontist",Peter Bonerz,Doty Abrams,"April 6, 1995",456669,30
1,21,21,"The One with the Fake Monica",Gail Mancuso,Adam Chase & Ira Ungerleider,"April 27, 1995",456671,28.4
1,22,22,"The One with the Ick Factor",Robby Benson,Alexa Junge,"May 4, 1995",456670,29.9
1,23,23,"The One with the Birth",James Burrows,"Story: David Crane & Marta Kauffman Teleplay: Jeff Greenstein & Jeff Strauss","May 11, 1995",456672,28.7
1,24,24,"The One Where Rachel Finds Out",Kevin S. Bright,Chris Brown,"May 18, 1995",456673,31.3
2,25,1,"The One with Ross's New Girlfriend",Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,"September 21, 1995",457301,32.1
2,26,2,"The One with the Breast Milk",Michael Lembeck,Adam Chase & Ira Ungerleider,"September 28, 1995",457302,29.8
2,27,3,"The One Where Heckles Dies",Kevin S. Bright,Michael Curtis & Gregory S. Malins,"October 5, 1995",457303,30.2
2,28,4,"The One with Phoebe's Husband",Gail Mancuso,Alexa Junge,"October 12, 1995",457305,28.1
2,29,5,"The One with Five Steaks and an Eggplant",Ellen Gittelsohn,Chris Brown,"October 19, 1995",457304,28.3
2,30,6,"The One with the Baby on the Bus",Gail Mancuso,Betsy Borns,"November 2, 1995",457306,30.2
2,31,7,"The One Where Ross Finds Out",Peter Bonerz,Michael Borkow,"November 9, 1995",457307,30.5
2,32,8,"The One with the List",Mary Kay Place,David Crane & Marta Kauffman,"November 16, 1995",457308,32.9
2,33,9,"The One with Phoebe's Dad",Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,"December 14, 1995",457309,27.8
2,34,10,"The One with Russ",Thomas Schlamme,Ira Ungerleider,"January 4, 1996",457311,32.2
2,35,11,"The One with the Lesbian Wedding",Thomas Schlamme,Doty Abrams,"January 18, 1996",457312,31.6
2,36,12,"The One After the Superbowl: Part 1",Michael Lembeck,"Part 1: Jeffrey Astrof & Mike Sikowitz Part 2: Michael Borkow","January 28, 1996[b]","457313/457314",52.9
2,37,13,"The One After the Superbowl: Part 2",Michael Lembeck,"Part 1: Jeffrey Astrof & Mike Sikowitz Part 2: Michael Borkow","January 28, 1996[b]","457313/457314",52.9
