Season,Released,Episode,imdbRating,Title,No.overall,No.inSeason,Directed,Written,Prod.Code,U.S.viewers_millions,ViewersNext
1,1989-07-05,0,7.9,The Seinfeld Chronicles,1,1,Art Wolff,Larry David & Jerry Seinfeld,101,15.4,22.5
1,1990-05-31,1,7.8,The Stakeout,2,2,Tom Cherones,Larry David & Jerry Seinfeld,103,22.5,19.7
1,1990-06-07,2,7.7,The Robbery,3,3,Tom Cherones,Matt Goldman,104,19.7,19.1
1,1990-06-14,3,7.6,Male Unbonding,4,4,Tom Cherones,Larry David & Jerry Seinfeld,102,19.1,19.4
1,1990-06-21,4,7.7,The Stock Tip,5,5,Tom Cherones,Larry David & Jerry Seinfeld,105,19.4,15.6
2,1991-01-23,1,7.8,The Ex-Girlfriend,6,1,Tom Cherones,Larry David & Jerry Seinfeld,201,15.6,15.2
2,1991-01-30,2,8.2,The Pony Remark,7,2,Tom Cherones,Larry David & Jerry Seinfeld,202,15.2,14.8
2,1991-02-06,5,8.5,The Jacket,8,3,Tom Cherones,Larry David & Jerry Seinfeld,205,14.8,13.6
2,1991-02-13,7,8.6,The Phone Message,9,4,Tom Cherones,Larry David & Jerry Seinfeld,207,13.6,24.7
2,1991-04-04,8,8.1,The Apartment,10,5,Tom Cherones,Peter Mehlman,208,24.7,23.3
2,1991-04-11,10,8.2,The Statue,11,6,Tom Cherones,Larry Charles,210,23.3,19.6
2,1991-04-18,12,8.5,The Revenge,12,7,Tom Cherones,Larry David,212,19.6,20.6
2,1991-04-25,11,8.2,The Heart Attack,13,8,Tom Cherones,Larry Charles,211,20.6,22.9
2,1991-05-02,13,8.4,The Deal,14,9,Tom Cherones,Larry David,213,22.9,17.2
2,1991-05-16,4,7.8,The Baby Shower,15,10,Tom Cherones,Larry Charles,204,17.2,16.8
2,1991-05-23,6,8.9,The Chinese Restaurant,16,11,Tom Cherones,Larry David & Jerry Seinfeld,206,16.8,12.5
2,1991-06-26,3,7.9,The Busboy,17,12,Tom Cherones,Larry David & Jerry Seinfeld,203,12.5,21.7
3,1991-09-18,1,8.4,The Note,18,1,Tom Cherones,Larry David,301,21.7,16.7
3,1991-09-25,2,8,The Truth,19,2,David Steinberg,Elaine Pope,302,16.7,15.1
3,1991-10-02,3,8.5,The Pen,20,3,Tom Cherones,Larry David,305,15.1,17.2
3,1991-10-09,4,7.4,The Dog,21,4,Tom Cherones,Larry David,303,17.2,16.4
3,1991-10-16,5,8.9,The Library,22,5,Joshua White,Larry Charles,304,16.4,17
3,1991-10-30,6,8.9,The Parking Garage,23,6,Tom Cherones,Larry David,306,17,16.4
3,1991-11-06,7,8.6,The Cafe,24,7,Tom Cherones,Tom Leopold,307,16.4,15.8
3,1991-11-13,8,8.8,The Tape,25,8,David Steinberg,Larry David and Bob Shaw & Don McEnery,308,15.8,16.3
3,1991-11-20,9,8.2,The Nose Job,26,9,Tom Cherones,Peter Mehlman,309,16.3,18.6
3,1991-11-27,10,7.6,The Stranded,27,10,Tom Cherones,Larry David & Jerry Seinfeld andMatt Goldman,209,18.6,18
3,1991-12-04,11,8.6,The Alternate Side,28,11,Tom Cherones,Larry David and Bill Masters,310,18,17.9
3,1991-12-11,12,8.6,The Red Dot,29,12,Tom Cherones,Larry David,311,17.9,18.7
3,1992-01-08,13,8.9,The Subway,30,13,Tom Cherones,Larry Charles,313,18.7,19.2
3,1992-01-15,14,8.7,The Pez Dispenser,31,14,Tom Cherones,Larry David,314,19.2,16.9
3,1992-01-29,15,7.9,The Suicide,32,15,Tom Cherones,Tom Leopold,312,16.9,18.5
3,1992-02-05,16,8.5,The Fix Up,33,16,Tom Cherones,Elaine Pope & Larry Charles,317,18.5,17
3,1992-02-12,17,9.1,The Boyfriend: Part 1,34–35,17,Tom Cherones,Larry David and Larry Levin,315/316,17,17
3,1992-02-12,18,8.9,The Boyfriend: Part 2,34–35,18,Tom Cherones,Larry David and Larry Levin,315/316,17,19.5
3,1992-02-26,19,9,The Limo,36,19,Tom Cherones,Story by: Marc Jaffe Teleplay: Larry Charles,318,19.5,16.1
3,1992-03-04,20,8.1,The Good Samaritan,37,20,Jason Alexander,Peter Mehlman,319,16.1,22.3
3,1992-03-25,21,8.1,The Letter,38,21,Tom Cherones,Larry David,320,22.3,17.8
3,1992-04-22,22,8.5,The Parking Space,39,22,Tom Cherones,Larry David and Greg Daniels,322,17.8,16.4
3,1992-05-06,23,8.7,The Keys,40,23,Tom Cherones,Larry Charles,321,16.4,16.3
4,1992-08-12,1,8.5,The Trip: Part 1,41,1,Tom Cherones,Larry Charles,401,16.3,15.1
4,1992-08-19,2,8.7,The Trip: Part 2,42,2,Tom Cherones,Larry Charles,402,15.1,17.6
4,1992-09-16,3,8.8,The Pitch,43,3,Tom Cherones,Larry David,403,17.6,17.6
4,1992-09-16,3,8.8,The Pitch,44,4,Tom Cherones,Larry David,404,17.6,17.6
4,1992-09-16,4,8.6,The Ticket,43,3,Tom Cherones,Larry David,403,17.6,17.6
4,1992-09-16,4,8.6,The Ticket,44,4,Tom Cherones,Larry David,404,17.6,17.6
4,1992-09-23,5,8.3,The Wallet,45,5,Tom Cherones,Larry David,405,17.6,15.2
4,1992-09-30,6,8.4,The Watch,46,6,Tom Cherones,Larry David,406,15.2,17.1
4,1992-10-07,7,9,The Bubble Boy,47,7,Tom Cherones,Larry David & Larry Charles,407,17.1,15.1
4,1992-10-28,8,8.7,The Cheever Letters,48,8,Tom Cherones,Story by: Larry David and Elaine Pope & Tom Leopold Teleplay by: Larry David,408,15.1,16.7
4,1992-11-04,9,8.5,The Opera,49,9,Tom Cherones,Larry Charles,409,16.7,16.2
4,1992-11-11,10,8.4,The Virgin,50,10,Tom Cherones,Story by: Peter Mehlman andPeter Farrelly & Bob Farrelly Teleplay by: Peter Mehlman,410,16.2,18.5
4,1992-11-18,11,9.6,The Contest,51,11,Tom Cherones,Larry David,411,18.5,14.5
4,1992-11-25,12,9.1,The Airport,52,12,Tom Cherones,Larry Charles,412,14.5,16.2
