"No.
overall ","No. in
season ",Title,Directed by ,Written by ,Original air date [5],"Prod.
code [12]","U.S. viewers
(millions) "
1,1,The Seinfeld Chronicles,Art Wolff,Larry David & Jerry Seinfeld,"July 5, 1989 (premiere)
June 28, 1990 (encore)",101,15.4[13]
2,2,The Stake Out,Tom Cherones,Larry David & Jerry Seinfeld,"May 31, 1990",103,22.5[14]
3,3,The Robbery,Tom Cherones,Matt Goldman,"June 7, 1990",104,19.7[15]
4,4,Male Unbonding,Tom Cherones,Larry David & Jerry Seinfeld,"June 14, 1990",102,19.1[16]
5,5,The Stock Tip,Tom Cherones,Larry David & Jerry Seinfeld,"June 21, 1990",105,19.4[17]
6,1,The Ex-Girlfriend,Tom Cherones,Larry David & Jerry Seinfeld,"January 23, 1991",201,15.6[18]
7,2,The Pony Remark,Tom Cherones,Larry David & Jerry Seinfeld,"January 30, 1991",202,15.2[19]
8,3,The Jacket,Tom Cherones,Larry David & Jerry Seinfeld,"February 6, 1991",205,14.8[20]
9,4,The Phone Message,Tom Cherones,Larry David & Jerry Seinfeld,"February 13, 1991",207,13.6[21]
10,5,The Apartment,Tom Cherones,Peter Mehlman,"April 4, 1991",208,24.7[22]
11,6,The Statue,Tom Cherones,Larry Charles,"April 11, 1991",210,23.3[23]
12,7,The Revenge,Tom Cherones,Larry David,"April 18, 1991",212,19.6[24]
13,8,The Heart Attack,Tom Cherones,Larry Charles,"April 25, 1991",211,20.6[25]
14,9,The Deal,Tom Cherones,Larry David,"May 2, 1991",213,22.9[26]
15,10,The Baby Shower,Tom Cherones,Larry Charles,"May 16, 1991",204,17.2[27]
16,11,The Chinese Restaurant,Tom Cherones,Larry David & Jerry Seinfeld,"May 23, 1991",206,16.8[28]
17,12,The Busboy,Tom Cherones,Larry David & Jerry Seinfeld,"June 26, 1991",203,12.5[29]
18,1,The Note,Tom Cherones,Larry David,"September 18, 1991",301,21.7[30]
19,2,The Truth,David Steinberg,Elaine Pope,"September 25, 1991",302,16.7[31]
20,3,The Pen,Tom Cherones,Larry David,"October 2, 1991",305,15.1[32]
21,4,The Dog,Tom Cherones,Larry David,"October 9, 1991",303,17.2[33]
22,5,The Library,Joshua White,Larry Charles,"October 16, 1991",304,16.4[34]
23,6,The Parking Garage,Tom Cherones,Larry David,"October 30, 1991",306,17.0[35]
24,7,The Café,Tom Cherones,Tom Leopold,"November 6, 1991",307,16.4[36]
25,8,The Tape,David Steinberg,Larry David and Bob Shaw & Don McEnery,"November 13, 1991",308,15.8[37]
26,9,The Nose Job,Tom Cherones,Peter Mehlman,"November 20, 1991",309,16.3[38]
27,10,The Stranded,Tom Cherones,Larry David & Jerry Seinfeld andMatt Goldman,"November 27, 1991",209[39],18.6[40]
28,11,The Alternate Side,Tom Cherones,Larry David and Bill Masters,"December 4, 1991",310,18.0[41]
29,12,The Red Dot,Tom Cherones,Larry David,"December 11, 1991",311,17.9[42]
30,13,The Subway,Tom Cherones,Larry Charles,"January 8, 1992",313,18.7[43]
31,14,The Pez Dispenser,Tom Cherones,Larry David,"January 15, 1992",314,19.2[44]
32,15,The Suicide,Tom Cherones,Tom Leopold,"January 29, 1992",312,16.9[45]
33,16,The Fix-Up,Tom Cherones,Elaine Pope & Larry Charles,"February 5, 1992",317,18.5[46]
34–35,17–18,"The Boyfriend
The New Friend",Tom Cherones,Larry David and Larry Levin,"February 12, 1992",315/316,17.0[47]
36,19,The Limo,Tom Cherones,"Story by: Marc Jaffe
Teleplay: Larry Charles","February 26, 1992",318,19.5[48]
37,20,The Good Samaritan,Jason Alexander,Peter Mehlman,"March 4, 1992",319,16.1[49]
38,21,The Letter,Tom Cherones,Larry David,"March 25, 1992",320,22.3[50]
39,22,The Parking Space,Tom Cherones,Larry David and Greg Daniels,"April 22, 1992",322,17.8[51]
40,23,The Keys,Tom Cherones,Larry Charles,"May 6, 1992",321,16.4[52]
41,1,The Trip: Part 1,Tom Cherones,Larry Charles,"August 12, 1992",401,16.3[53]
42,2,The Trip: Part 2,Tom Cherones,Larry Charles,"August 19, 1992",402,15.1[54]
43,3,The Pitch,Tom Cherones,Larry David,"September 16, 1992",403,17.6[55]
44,4,The Ticket,Tom Cherones,Larry David,"September 16, 1992",404,17.6[55]
45,5,The Wallet,Tom Cherones,Larry David,"September 23, 1992",405,17.6[56]
46,6,The Watch,Tom Cherones,Larry David,"September 30, 1992",406,15.2[57]
47,7,The Bubble Boy,Tom Cherones,Larry David & Larry Charles,"October 7, 1992",407,17.1[58]
48,8,The Cheever Letters,Tom Cherones,"Story by: Larry David and Elaine Pope & Tom Leopold
Teleplay by: Larry David","October 28, 1992",408,15.1[59]
49,9,The Opera,Tom Cherones,Larry Charles,"November 4, 1992",409,16.7[60]
50,10,The Virgin,Tom Cherones,"Story by: Peter Mehlman andPeter Farrelly & Bob Farrelly
Teleplay by: Peter Mehlman","November 11, 1992",410,16.2[61]
51,11,The Contest,Tom Cherones,Larry David,"November 18, 1992",411,18.5[62]
52,12,The Airport,Tom Cherones,Larry Charles,"November 25, 1992",412,14.5[63]
53,13,The Pick,Tom Cherones,"Story by: Larry David and Marc Jaffe
Teleplay by: Larry David","December 16, 1992",413,16.2[64]
54,14,The Movie,Tom Cherones,Steve Skrovan & Bill Masters & Jon Hayman,"January 6, 1993",415,17.6[65]
55,15,The Visa,Tom Cherones,Peter Mehlman,"January 27, 1993",414,N/A
56,16,The Shoes,Tom Cherones,Larry David & Jerry Seinfeld,"February 4, 1993",417,26.9[66]
57,17,The Outing,Tom Cherones,Larry Charles,"February 11, 1993",416,28.0[67]
58,18,The Old Man,Tom Cherones,"Story by: Bruce Kirschbaum
Teleplay by: Larry Charles","February 18, 1993",418,22.7[68]
59,19,The Implant,Tom Cherones,Peter Mehlman,"February 25, 1993",419,27.4[69]
60,20,The Junior Mint,Tom Cherones,Andy Robin,"March 18, 1993",421,26.4[70]
61,21,The Smelly Car,Tom Cherones,Larry David & Peter Mehlman,"April 15, 1993",422,25.0[71]
62,22,The Handicap Spot,Tom Cherones,Larry David,"May 13, 1993",420,27.6[72]
63–64,23–24,The Pilot,Tom Cherones,Larry David,"May 20, 1993",423/424,32.8[73]
65,1,The Mango,Tom Cherones,"Story by: Lawrence H. Levy
Teleplay by: Lawrence H. Levy and Larry David","September 16, 1993",501,28.2[74]
66,2,The Puffy Shirt,Tom Cherones,Larry David,"September 23, 1993",503,29.5[75]
