Season,Released,Episode,imdbRating,Title,No.overall ,No.inSeason ,Directed,Written,Prod.Code,U.S.viewers(millions) ,Ratio
1,1990-07-05,0,7.9,The Seinfeld Chronicles,1,1,Art Wolff,Larry David & Jerry Seinfeld,101,15.4,0.512987013
1,1990-05-31,1,7.8,The Stakeout,2,2,Tom Cherones,Larry David & Jerry Seinfeld,103,22.5,0.3466666667
1,1990-06-07,2,7.7,The Robbery,3,3,Tom Cherones,Matt Goldman,104,19.7,0.3908629442
1,1990-06-14,3,7.6,Male Unbonding,4,4,Tom Cherones,Larry David & Jerry Seinfeld,102,19.1,0.3979057592
1,1990-06-21,4,7.7,The Stock Tip,5,5,Tom Cherones,Larry David & Jerry Seinfeld,105,19.4,0.3969072165
2,1991-01-23,1,7.8,The Ex-Girlfriend,6,1,Tom Cherones,Larry David & Jerry Seinfeld,201,15.6,0.5
2,1991-01-30,2,8.2,The Pony Remark,7,2,Tom Cherones,Larry David & Jerry Seinfeld,202,15.2,0.5394736842
2,1991-06-26,3,7.9,The Busboy,17,12,Tom Cherones,Larry David & Jerry Seinfeld,203,12.5,0.632
2,1991-05-16,4,7.8,The Baby Shower,15,10,Tom Cherones,Larry Charles,204,17.2,0.4534883721
2,1991-02-06,5,8.5,The Jacket,8,3,Tom Cherones,Larry David & Jerry Seinfeld,205,14.8,0.5743243243
2,1991-05-23,6,8.9,The Chinese Restaurant,16,11,Tom Cherones,Larry David & Jerry Seinfeld,206,16.8,0.5297619048
2,1991-02-13,7,8.6,The Phone Message,9,4,Tom Cherones,Larry David & Jerry Seinfeld,207,13.6,0.6323529412
2,1991-04-04,8,8.1,The Apartment,10,5,Tom Cherones,Peter Mehlman,208,24.7,0.3279352227
2,1991-04-11,10,8.2,The Statue,11,6,Tom Cherones,Larry Charles,210,23.3,0.3519313305
2,1991-04-25,11,8.2,The Heart Attack,13,8,Tom Cherones,Larry Charles,211,20.6,0.3980582524
2,1991-04-18,12,8.5,The Revenge,12,7,Tom Cherones,Larry David,212,19.6,0.4336734694
2,1991-05-02,13,8.4,The Deal,14,9,Tom Cherones,Larry David,213,22.9,0.3668122271
3,1991-09-18,1,8.4,The Note,18,1,Tom Cherones,Larry David,301,21.7,0.3870967742
3,1991-09-25,2,8,The Truth,19,2,David Steinberg,Elaine Pope,302,16.7,0.4790419162
3,1991-10-02,3,8.5,The Pen,20,3,Tom Cherones,Larry David,305,15.1,0.5629139073
3,1991-10-09,4,7.4,The Dog,21,4,Tom Cherones,Larry David,303,17.2,0.4302325581
3,1991-10-16,5,8.9,The Library,22,5,Joshua White,Larry Charles,304,16.4,0.5426829268
3,1991-10-30,6,8.9,The Parking Garage,23,6,Tom Cherones,Larry David,306,17,0.5235294118
3,1991-11-06,7,8.6,The Cafe,24,7,Tom Cherones,Tom Leopold,307,16.4,0.5243902439
3,1991-11-13,8,8.8,The Tape,25,8,David Steinberg,Larry David and Bob Shaw & Don McEnery,308,15.8,0.5569620253
3,1991-11-20,9,8.2,The Nose Job,26,9,Tom Cherones,Peter Mehlman,309,16.3,0.5030674847
